Artist,Score
2Pac,3.5
A Tribe Called Quest,4.25
ABBA,3.69
AC/DC,3.69
Adele,3.88
Aerosmith,3.47
Afrika Bambaataa,3.25
Al Green,3.41
Albert King,3.07
Alice Cooper,3.43
Alice In Chains,3.75
Aretha Franklin,3.14
Ariana Grande,3.88
B. B. King,3.23
Bad Brains,3.33
Bad Company,2.77
Barry White,3.3
Bauhaus,3.6
Beastie Boys,4.44
Ben E. King,3.06
Beyonce,3.75
Big Joe Turner,3.33
Big Mama Thornton,3.5
Big Star,4.2
Bill Haley,2.94
Bill Withers,3.61
Billy Joel,3.54
Billy Ward and his Dominoes,3.81
Bjork,3.9
Black Flag,3.29
Black Sabbath,3.5
Blondie,3.4
Bo Diddley,3.19
Bob Dylan,3.76
Bob Marley,4.35
Bob Seger,3.68
"Bobby ""Blue"" Bland",3.08
Bobby Darin,2.98
Bobby Womack,3.32
Bon Jovi,2.93
Bonnie Raitt,3.71
Booker T. and the M.G.'s,3.33
Boston,3.17
Brenda Lee,3.33
Brian Eno,3.81
Bruce Springsteen,4.06
Bruno Mars,3.17
Buddy Guy,3.38
Buddy Holly,4.17
Buffalo Springfield,4
Calvin Harris,3.6
Can,3.5
Captain Beefheart,3.96
Cardi B,4
Carl Perkins,3.44
Carly Simon,3.12
Carole King,2.85
Cat Stevens,3.36
Chaka Khan,3.46
Cheap Trick,3.425
Cher,2.86
Chic,3.25
Chicago,3.09
Chubby Checker,3.15
Chuck Berry,3.53
Chuck Willis,4
Clyde McPhatter,3.29
Coldplay,3.86
Connie Francis,3.35
Conway Twitty,2.88
Cream,3.875
Creedence Clearwater Revival,4.14
"Crosby, Stills and Nash",3.13
Curtis Mayfield,3.22
Darlene Love,3.58
David Bowie,3.56
De La Soul,3.69
Deep Purple,3.45
Def Leppard,3.68
Del Shannon,3.44
Depeche Mode,3.93
Devo,3.06
Dick Dale,3.3
Dion,3.19
Dire Straits,3.5
DJ Khaled,3.3
Donna Summer,3.13
Donovan,3.17
Dr. John,3.54
Drake,3.19
Duane Eddy,2.79
Duran Duran,2.79
Dusty Springfield,3.58
"Earth, Wind & Fire",3.27
Ed Sheeran,3.33
Eddie Cochran,3.29
Electric Light Orchestra,3.38
Elton John,3.24
Elvis Costello & the Attractions,3.85
Elvis Presley,3.31
"Emerson, Lake & Palmer",3.18
Eminem,3.64
Eric B. & Rakim,4.25
Eric Clapton,3.38
Esther Phillips,3.15
Etta James,3.36
Eurythmics,3.22
Faith No More,3.93
Fats Domino,3.25
Fleetwood Mac,3.5
Foreigner,3.33
Frank Zappa,3.71
Frankie Lymon and the Teenagers,3.25
Fugazi,4.1
Gene Pitney,2.98
Gene Vincent,3.38
Genesis,3.6
George Harrison,3.5
George Michael,3.44
Gladys Knight and the Pips,3.12
Gram Parsons,4.58
Grandmaster Flash & the Furious Five,2.75
Green Day,3.82
Guitar Slim,3.57
Guns N' Roses,3.67
Hall & Oates,3.42
Hank Ballard,3.06
Harry Nilsson,3.66
Heart,3.11
Husker Du,4.58
Ice Cube,3.56
Ice-T,3.25
Ike and Tina Turner,2.81
Imagine Dragons,3.17
INXS,2.91
Iron Maiden,3.59
Isaac Hayes,3.17
Jackie Wilson,3.39
Jackson Browne,3.32
James Brown,2.92
James Taylor,3.5
Jan & Dean,2.72
Jane's Addiction,3.8
Janet Jackson,3.23
Janis Joplin,4
Jeff Beck,3.59
Jefferson Airplane,3.6
Jerry Lee Lewis,3.39
Jethro Tull,2.98
Jim Croce,3
Jimmy Cliff,3.2
Jimmy Reed,3.67
Joan Baez,3.54
Joan Jett and the Blackhearts,3.29
Joe Cocker,2.96
Joe Tex,3.36
John Coltrane,4.25
John Lee Hooker,3.49
John Lennon,3.23
John Mellencamp,3.28
John Prine,3.58
Johnny Ace,4.38
Johnny Burnette,3.36
Johnny Cash,3.29
Joni Mitchell,3.61
Journey,3.04
Joy Division,3.8
Judas Priest,3.45
Junior Walker & the All-Stars,3.19
Justin Bieber,3.21
Justin Timberlake,2.7
Kansas,3.07
Kanye West,3.9
Kate Bush,3.65
Kendrick Lamar,4.4
King Crimson,3.79
KISS,3.13
Kraftwerk,4.05
Lady Gaga,3.79
Laura Nyro,3.75
LaVern Baker,3.57
Led Zeppelin,4.5
Leonard Cohen,4.04
Lil Wayne,3.29
Linda Ronstadt,3.04
Link Wray,3.25
Little Anthony & the Imperials,3.11
Little Richard,3.5
Little Willie John,3.28
LL Cool J,3.23
Lloyd Price,3.22
Los Lobos,3.68
Lou Reed,3.43
Love,3.67
Lovin' Spoonful,3.5
Lynyrd Skynyrd,3.21
Madonna,3.88
Maroon 5,3.75
Martha and the Vandellas,3.25
Marvin Gaye,3.62
Mary Wells,3.11
Massive Attack,4
MC5,4.5
Megadeth,3.31
Metallica,3.95
Michael Jackson,3.65
Miles Davis,4.02
Motley Crue,3.44
Motorhead,3.38
Muddy Waters,3.46
My Bloody Valentine,3.88
N.W.A,4.5
Neil Diamond,3.05
Neil Young,3.41
New Order,3.89
New York Dolls,4.38
Nick Cave,4
Nick Drake,4.5
Nicki Minaj,3.5
Nina Simone,3.36
Nine Inch Nails,3.79
Nirvana,4.5
Otis Redding,4.25
Ozzy Osbourne,3.59
Pantera,3.28
Parliament-Funkadelic,4.07
Pat Benatar,3.09
Patti Smith,3.71
Paul McCartney,3.52
Paul Simon,4
Pavement,4.5
Pearl Jam,4.05
Percy Sledge,3.71
Peter Frampton,3.03
Peter Gabriel,3.77
Peter Tosh,3.5
"Peter, Paul & Mary",3.2
Phil Collins,3.69
Phish,3.58
Pink Floyd,3.53
Pixies,4.14
Prince,3.41
Procol Harum,3.5
Public Enemy,3.85
Queen,3.5
R.E.M.,3.67
Radiohead,4.17
Rage Against the Machine,4.13
Ramones,3.46
Randy Newman,4.14
Ray Charles,3.22
Red Hot Chili Peppers,3.68
Rick James,3.33
Ricky Nelson,3.02
Righteous Brothers,3.25
Rihanna,3.69
Ritchie Valens,3.33
Rod Stewart,2.98
Roxy Music,4.17
Roy Orbison,3.24
Rufus featuring Chaka Khan,3.38
Run DMC,3.79
Rush,3.37
Ruth Brown,3.27
Salt-N-Pepa,3.4
Sam & Dave,3.7
Sam Cooke,3.5
Santana,3.28
Scorpions,3.38
Scott Walker,3.38
Screamin' Jay Hawkins,2.8
Sex Pistols,5
Silver Apples,3.34
Simon and Garfunkel,4.2
Siouxsie & the Banshees,3.73
Slayer,3.43
Sly and the Family Stone,3.29
Smashing Pumpkins,3.78
Smokey Robinson,3.1
Solomon Burke,3.38
Sonic Youth,3.68
Soundgarden,3.63
Sparks,3.54
Steely Dan,4.28
Steppenwolf,2.82
Steve Miller,3.28
Steve Winwood,3.5
Stevie Nicks,3.57
Stevie Ray Vaughan & Double Trouble,4.2
Stevie Wonder,3.48
Sting,3.54
Stone Roses,4
Stone Temple Pilots,3.63
Styx,3.06
Suicide,3.4
T. Rex,3.73
Talking Heads,4.19
Taylor Swift,3.83
Television,4.25
The (Young) Rascals,3.56
The Allman Brothers Band,3.77
The Animals,3.22
The B-52's,3.71
The Band,3.45
The Beach Boys,3.17
The Beatles,4.81
The Bee Gees,3.38
The Buzzcocks,3.5
The Byrds,3.88
The Carpenters,3.23
The Cars,3.86
The Chainsmokers,2
The Chantels,3.1
The Clash,3.75
The Clovers,3.75
The Coasters,3.3
The Commodores,3.11
The Cure,3.31
The Dave Clark Five,2.88
The Dead Kennedys,3.8
The Dells,3.19
The Doobie Brothers,3.32
The Doors,3.61
The Drifters,3.1
The Eagles,3.5
The Everly Brothers,3.29
The Flaming Lips,3.79
The Flamingos,3.5
The Four Seasons,3.18
The Four Tops,3
The Go-Gos,3.25
The Grateful Dead,3.62
The Guess Who,2.59
The Hollies,3.1
The Impressions,3.4
The Isley Brothers,3.52
The J. Geils Band,3.71
The J.B.'s,3.53
The Jackson Five,3.38
The Jam,4.25
The Jesus and Mary Chain,3.79
The Jimi Hendrix Experience,4.58
The Kinks,3.29
The Mamas and the Papas,3.5
The Marvelettes,3
The Meters,3.38
The Monkees,3.54
The Moody Blues,3.22
The Moonglows,3.67
The O'Jays,3.14
The Paul Butterfield Blues Band,4
The Platters,3
The Police,4.1
The Pretenders,3.75
The Replacements,4.29
The Rolling Stones,4.11
The Ronettes,3.5
The Runaways,3.4
The Shangri-Las,3.5
The Shirelles,3.18
The Sir Douglas Quintet,3.88
The Small Faces/The Faces,4.25
The Smiths,4.25
The Specials,3.25
The Spinners,3.06
The Staple Singers,3.69
The Stooges,4.3
The Supremes,3.34
The Temptations,3.64
The Velvet Underground,4.3
The Ventures,3.02
The Weeknd,2.92
The Who,4.17
The Yardbirds,3.58
The Zombies,3.9
Thin Lizzy,3.69
Three Dog Night,3.43
Tina Turner,3
Todd Rundgren,3.25
Tom Petty & the Heartbreakers,3.59
Tom Waits,3.91
Tommy James & the Shondells,3.43
Toots & the Maytals,3.64
Toto,2.88
Traffic,3.69
Twenty-One Pilots,3.88
U2,3.71
Van Halen,3.67
Van Morrison,3.71
War,2.84
Warren Zevon,3.61
Weird Al Yankovic,3.25
Whitney Houston,3.34
Willie Nelson,3.37
Wilson Pickett,3.18
X,4.21
XTC,3.83
Yes,3.1
ZZ Top,3.13
Weezer,4
Daft Punk,4.3
Oasis,4
Marilyn Manson,3.77
Korn,3.58
Bush,3.29
Elliott Smith,4.25
Sleater-Kinney,4.13
Jay-Z,3.6
Backstreet Boys,3.6
The Chemical Brothers,3.64
Foo Fighters,3.72
D'Angelo,4.63
Garbage,3.83
Wilco,4.08
Gov't Mule,3.86
Air,3.93
Beck,3.96
Ben Folds Five,3.67
Blink 182,3.8
Counting Crows,3.93
Dave Matthews Band,3.58
Dolly Parton,3.39
Emmylou Harris,3.66
Garth Brooks,3.5
Jeff Buckley,4.5
John Mayall,3.07
KRS-One,3.35
Loretta Lynn,3.01
Lucinda Williams,3.96
Notorious B.I.G.,4.17
Outkast,4.25
Portishead,4.25
Rancid,3.5
Shania Twain,3.5
Sheryl Crow,3.9
Snoop Dogg,3.48
The Roots,3.81
Ella Fitzgerald,3.44
Billie Holliday,3.34
Waylon Jennings,3.47
Joe Jackson,3.38
Squeeze,3.4
The Cult,3.45
Blue Oyster Cult,3.32
Nas,3.54
Badfinger,3.44
