,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position
0,The Beatles,1988,0,1,1230.0,178.0,10.0,80.0,1.0
1,Elvis Presley,1986,0,1,273.0,146.5,3.0,158.0,1.0
2,Led Zeppelin,1995,0,1,355.0,111.5,5.0,10.0,4.0
3,Michael Jackson,2001,3,1,176.0,84.0,3.0,49.0,1.0
4,Billy Joel,1999,2,2,,82.5,2.0,42.0,1.0
5,Elton John,1994,0,1,,78.0,5.0,68.0,1.0
6,Pink Floyd,1996,3,2,281.0,75.0,4.0,5.0,1.0
7,Aerosmith,2001,2,2,,66.5,2.0,30.0,1.0
8,The Rolling Stones,1989,0,1,557.0,66.5,10.0,57.0,1.0
9,Bruce Springsteen,1999,0,1,132.0,65.5,8.0,28.0,2.0
10,Madonna,2008,0,1,145.0,64.5,3.0,55.0,1.0
11,Metallica,2009,1,1,180.0,63.0,2.0,16.0,10.0
12,Van Halen,2007,3,1,,56.5,1.0,23.0,1.0
13,Fleetwood Mac,1998,4,1,,54.5,2.0,25.0,1.0
14,U2,2005,0,1,155.0,52.0,5.0,32.0,1.0
15,Neil Diamond,2011,22,1,,49.5,1.0,55.0,1.0
16,Journey,2017,16,1,,48.0,,26.0,2.0
17,Guns N' Roses,2012,0,1,,44.5,1.0,13.0,1.0
18,Santana,1998,3,1,,43.5,2.0,26.0,1.0
19,Eric Clapton,2000,4,1,,40.0,2.0,24.0,1.0
20,Chicago,2016,21,1,,38.5,,49.0,1.0
21,Rod Stewart,1994,4,2,,38.0,1.0,51.0,1.0
22,Bob Dylan,1988,0,1,669.0,36.0,10.0,23.0,2.0
23,Bon Jovi,2018,9,2,,34.5,,27.0,1.0
24,Queen,2001,2,2,,34.5,1.0,27.0,1.0
25,The Doors,1993,0,1,,33.0,3.0,17.0,1.0
26,James Taylor,2000,6,1,,33.0,1.0,21.0,1.0
27,Pearl Jam,2017,0,1,,31.5,2.0,16.0,2.0
28,Linda Ronstadt,2014,19,1,,30.0,1.0,34.0,1.0
29,Lynyrd Skynyrd,2006,9,7,,28.5,1.0,7.0,8.0
30,Creedence Clearwater Revival,1993,0,1,,28.0,2.0,20.0,2.0
31,John Mellencamp,2008,6,3,,27.5,,22.0,2.0
32,Nirvana,2014,0,1,204.0,25.0,3.0,4.0,6.0
33,Rush,2013,14,1,,25.0,,8.0,21.0
34,Red Hot Chili Peppers,2012,2,2,,25.0,2.0,13.0,2.0
35,Green Day,2015,0,1,,24.0,2.0,8.0,2.0
36,Johnny Cash,1992,6,3,194.0,23.5,2.0,48.0,2.0
37,"Earth, Wind & Fire",2000,4,2,,23.5,1.0,33.0,1.0
38,The Cars,2018,14,3,,23.5,1.0,18.0,3.0
39,Beastie Boys,2012,4,3,,23.0,2.0,7.0,7.0
40,Heart,2013,11,2,,22.5,,30.0,1.0
41,The Beach Boys,1988,0,1,422.0,22.5,3.0,55.0,1.0
42,The Police,2003,0,1,,22.0,4.0,13.0,1.0
43,Genesis,2010,16,1,,21.5,,22.0,1.0
44,The Who,1990,0,1,278.0,21.0,7.0,26.0,9.0
45,Prince,2004,0,1,228.0,20.5,3.0,49.0,1.0
46,R.E.M.,2007,0,1,188.0,20.0,3.0,22.0,4.0
47,Stevie Wonder,1989,1,1,246.0,19.5,4.0,63.0,1.0
48,Jackson Browne,2004,6,2,,18.5,3.0,17.0,7.0
49,Janis Joplin,1995,0,1,,17.5,1.0,8.0,1.0
50,Neil Young,1995,0,1,374.0,17.5,3.0,11.0,1.0
51,Bonnie Raitt,2000,3,1,,17.0,2.0,11.0,5.0
52,Dire Straits,2018,14,1,,15.5,1.0,7.0,1.0
53,Cat Stevens,2014,22,2,,15.5,1.0,14.0,6.0
54,Black Sabbath,2006,10,8,276.0,15.0,3.0,2.0,52.0
55,Hall & Oates,2014,16,1,,14.0,,35.0,1.0
56,Yes,2017,22,3,,13.5,,10.0,1.0
57,Paul Simon,2001,10,1,,13.5,2.0,18.0,1.0
58,The Temptations,1989,2,1,,12.5,1.0,50.0,1.0
59,Steely Dan,2001,3,3,,11.0,3.0,15.0,4.0
60,George Harrison,2004,10,1,,10.5,1.0,17.0,1.0
61,John Lennon,1994,0,1,,10.5,1.0,15.0,1.0
62,The Moody Blues,2018,28,1,,10.0,,21.0,2.0
63,Electric Light Orchestra,2017,20,1,,10.0,,21.0,4.0
64,Peter Gabriel,2014,11,1,,10.0,1.0,11.0,1.0
65,Aretha Franklin,1987,1,2,140.0,10.0,2.0,76.0,1.0
66,Van Morrison,1993,0,1,,10.0,2.0,11.0,9.0
67,Deep Purple,2016,22,3,120.0,,,8.0,4.0
68,AC/DC,2003,2,3,121.0,,2.0,7.0,23.0
69,Curtis Mayfield,1999,3,1,121.0,,1.0,9.0,4.0
70,Blondie,2006,4,1,129.0,,1.0,14.0,1.0
71,Cheap Trick,2016,13,1,131.0,,2.0,16.0,1.0
72,Tom Waits,2011,12,1,134.0,,3.0,,
73,Buddy Holly,1986,0,1,139.0,,1.0,11.0,1.0
74,Cream,1993,1,2,139.0,,3.0,5.0,5.0
75,Otis Redding,1989,2,1,140.0,,3.0,25.0,1.0
76,The Yardbirds,1992,2,3,142.0,,2.0,9.0,6.0
77,Talking Heads,2002,0,1,142.0,,4.0,8.0,9.0
78,The Band,1994,0,1,145.0,,2.0,1.0,66.0
79,Ray Charles,1986,0,1,153.0,,3.0,75.0,1.0
80,Frank Zappa,1995,3,3,161.0,,,3.0,32.0
81,Leonard Cohen,2008,15,1,164.0,,1.0,,
82,Bob Marley,1994,3,2,165.0,,,1.0,51.0
83,Sam Cooke,1986,0,1,178.0,,2.0,43.0,1.0
84,Muddy Waters,1987,1,2,200.0,,3.0,,
85,N.W.A,2016,3,4,203.0,,1.0,1.0,38.0
86,Marvin Gaye,1987,1,2,224.0,,3.0,56.0,1.0
87,Chuck Berry,1986,0,1,228.0,,1.0,27.0,1.0
88,Sex Pistols,2006,4,5,239.0,,1.0,,
89,Joni Mitchell,1997,3,3,252.0,,2.0,10.0,7.0
90,Ramones,2002,0,1,258.0,,2.0,3.0,66.0
91,The Clash,2003,0,1,273.0,,3.0,4.0,8.0
92,The Stooges,2010,15,8,285.0,,2.0,,
93,James Brown,1986,0,1,299.0,,3.0,53.0,4.0
94,Miles Davis,2006,20,1,342.0,,3.0,,
95,The Byrds,1991,0,1,360.0,,4.0,16.0,1.0
96,The Kinks,1990,0,1,384.0,,3.0,23.0,6.0
97,The Velvet Underground,1996,4,5,425.0,,4.0,,
98,David Bowie,1996,4,2,432.0,,5.0,27.0,1.0
99,Nina Simone,2018,32,1,,,,6.0,18.0
100,2Pac,2017,0,1,,,,19.0,1.0
101,Joan Baez,2017,31,1,,,,8.0,3.0
102,Steve Miller,2016,22,1,,,,20.0,1.0
103,Bill Withers,2015,18,1,,,,11.0,1.0
104,Joan Jett and the Blackhearts,2015,9,3,,,,10.0,1.0
105,Lou Reed,2015,17,3,,,2.0,1.0,16.0
106,The Paul Butterfield Blues Band,2015,26,4,,,1.0,,
107,Stevie Ray Vaughan & Double Trouble,2015,6,1,,,,,
108,KISS,2014,14,2,,,2.0,26.0,7.0
109,Albert King,2013,25,1,,,1.0,2.0,67.0
110,Donna Summer,2013,13,5,,,,33.0,1.0
111,Public Enemy,2013,0,1,,,2.0,2.0,33.0
112,Randy Newman,2013,22,2,,,3.0,3.0,2.0
113,Donovan,2012,21,2,,,,17.0,1.0
114,Laura Nyro,2012,19,3,,,,1.0,92.0
115,The Small Faces/The Faces,2012,20,1,,,,4.0,16.0
116,Alice Cooper,2011,16,1,,,1.0,21.0,7.0
117,Darlene Love,2011,22,3,,,,4.0,26.0
118,Dr. John,2011,17,1,,,1.0,4.0,9.0
119,ABBA,2010,11,2,,,1.0,20.0,1.0
120,The Hollies,2010,20,1,,,,23.0,2.0
121,Jimmy Cliff,2010,17,1,,,,3.0,18.0
122,Bobby Womack,2009,16,1,,,,14.0,10.0
123,Jeff Beck,2009,16,1,,,,1.0,48.0
124,Little Anthony & the Imperials,2009,23,1,,,,19.0,4.0
125,Run DMC,2009,0,1,,,,5.0,4.0
126,The Dave Clark Five,2008,20,3,,,,24.0,1.0
127,The Ventures,2008,22,1,,,,14.0,2.0
128,Grandmaster Flash & the Furious Five,2007,2,3,,,,2.0,62.0
129,Patti Smith,2007,6,7,,,1.0,2.0,13.0
130,The Ronettes,2007,18,1,,,1.0,8.0,2.0
131,Buddy Guy,2005,12,1,,,,,
132,The O'Jays,2005,14,2,,,1.0,29.0,1.0
133,Percy Sledge,2005,13,1,,,,14.0,1.0
134,The Pretenders,2005,0,1,,,,10.0,5.0
135,Bob Seger,2004,12,2,,,,32.0,1.0
136,The Dells,2004,13,3,,,,24.0,10.0
137,Traffic,2004,11,1,,,,3.0,74.0
138,ZZ Top,2004,8,1,,,2.0,17.0,8.0
139,Elvis Costello & the Attractions,2003,0,1,,,,3.0,19.0
140,Righteous Brothers,2003,14,1,,,,23.0,1.0
141,Brenda Lee,2002,16,3,,,,52.0,1.0
142,Gene Pitney,2002,15,8,,,,23.0,2.0
143,Isaac Hayes,2002,9,1,,,,14.0,1.0
144,Tom Petty & the Heartbreakers,2002,0,1,,,,26.0,7.0
145,The Flamingos,2001,15,5,,,,11.0,11.0
146,Ritchie Valens,2001,15,3,,,,5.0,2.0
147,Solomon Burke,2001,15,10,,,,26.0,22.0
148,Lovin' Spoonful,2000,9,1,,,,14.0,1.0
149,The Moonglows,2000,14,6,,,,3.0,20.0
150,Del Shannon,1999,13,7,,,,17.0,1.0
151,Dusty Springfield,1999,9,2,,,1.0,19.0,2.0
152,Paul McCartney,1999,6,1,,,,48.0,1.0
153,The Staple Singers,1999,13,1,,,,15.0,1.0
154,The Eagles,1998,0,1,,,,21.0,1.0
155,Gene Vincent,1998,12,7,,,,5.0,7.0
156,Lloyd Price,1998,12,7,,,,10.0,1.0
157,The Mamas and the Papas,1998,6,2,,,1.0,16.0,1.0
158,The Bee Gees,1997,6,2,,,,43.0,1.0
159,Buffalo Springfield,1997,4,4,,,1.0,5.0,7.0
160,"Crosby, Stills and Nash",1997,2,1,,,,13.0,7.0
161,The Jackson Five,1997,3,4,,,,33.0,1.0
162,Parliament-Funkadelic,1997,1,2,,,,13.0,15.0
163,The (Young) Rascals,1997,5,4,,,,18.0,1.0
164,Gladys Knight and the Pips,1996,10,5,,,,40.0,1.0
165,Jefferson Airplane,1996,4,2,,,2.0,8.0,5.0
166,Little Willie John,1996,10,8,,,,14.0,13.0
167,The Shirelles,1996,9,3,,,,26.0,1.0
168,Al Green,1995,2,1,,,3.0,20.0,1.0
169,The Allman Brothers Band,1995,0,1,,,1.0,11.0,2.0
170,Martha and the Vandellas,1995,6,3,,,,23.0,2.0
171,The Animals,1994,4,3,,,,19.0,1.0
172,Duane Eddy,1994,8,8,,,,27.0,4.0
173,The Grateful Dead,1994,1,2,,,1.0,6.0,9.0
174,Etta James,1993,7,2,,,1.0,26.0,23.0
175,Frankie Lymon and the Teenagers,1993,7,8,,,,5.0,13.0
176,Ruth Brown,1993,7,6,,,,7.0,24.0
177,Sly and the Family Stone,1993,0,1,,,,19.0,1.0
178,"Bobby ""Blue"" Bland",1992,6,6,,,1.0,37.0,20.0
179,Booker T. and the M.G.'s,1992,4,3,,,,17.0,3.0
180,The Isley Brothers,1992,6,1,,,,41.0,2.0
181,The Jimi Hendrix Experience,1992,0,1,,,3.0,7.0,20.0
182,Sam & Dave,1992,0,1,,,,13.0,2.0
183,Ike and Tina Turner,1991,5,5,,,,20.0,4.0
184,The Impressions,1991,2,3,,,,38.0,4.0
185,Jimmy Reed,1991,5,6,,,,12.0,32.0
186,John Lee Hooker,1991,5,1,,,1.0,1.0,60.0
187,LaVern Baker,1991,5,6,,,,19.0,6.0
188,Wilson Pickett,1991,2,3,,,,38.0,6.0
189,Bobby Darin,1990,4,5,,,,41.0,1.0
190,The Four Seasons,1990,2,3,,,,42.0,1.0
191,The Four Tops,1990,4,2,,,,43.0,1.0
192,Hank Ballard,1990,4,5,,,,13.0,6.0
193,The Platters,1990,4,3,,,,40.0,1.0
194,Simon and Garfunkel,1990,0,1,,,,18.0,1.0
195,Dion,1989,3,3,,,,30.0,1.0
196,The Drifters,1988,2,1,,,1.0,36.0,1.0
197,The Supremes,1988,2,3,,,,45.0,1.0
198,B. B. King,1987,1,2,,,,35.0,15.0
199,Big Joe Turner,1987,1,2,,,,2.0,41.0
200,Bill Haley,1987,1,2,,,,22.0,1.0
201,Bo Diddley,1987,1,1,,,1.0,5.0,20.0
202,Carl Perkins,1987,1,2,,,,5.0,2.0
203,Clyde McPhatter,1987,1,2,,,,21.0,6.0
204,The Coasters,1987,1,2,,,,19.0,1.0
205,Eddie Cochran,1987,1,2,,,,7.0,8.0
206,Jackie Wilson,1987,1,2,,,1.0,53.0,4.0
207,Ricky Nelson,1987,1,2,,,,53.0,1.0
208,Roy Orbison,1987,1,2,,,,31.0,1.0
209,Smokey Robinson,1987,1,2,,,,43.0,1.0
210,The Everly Brothers,1986,0,1,,,,38.0,1.0
211,Fats Domino,1986,0,1,,,,66.0,2.0
212,Jerry Lee Lewis,1986,0,1,,,1.0,18.0,2.0
213,Little Richard,1986,0,1,,,1.0,21.0,6.0
