,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,In_Out
172,The Shirelles,1996.0,9,3,10.0,0.0,0.0,26.0,1.0,0.0,3.18,1
173,LaVern Baker,1991.0,5,6,9.0,0.0,0.0,19.0,6.0,0.0,3.57,1
174,Duane Eddy,1994.0,8,8,9.0,0.0,0.0,27.0,4.0,0.0,2.79,1
175,Grandmaster Flash & the Furious Five,2007.0,2,3,7.0,0.0,0.0,2.0,62.0,0.0,2.75,1
176,Hank Ballard,1990.0,4,5,7.0,0.0,0.0,13.0,6.0,0.0,3.06,1
177,Little Anthony & the Imperials,2009.0,23,1,6.0,0.0,0.0,19.0,4.0,0.0,3.11,1
178,The Coasters,1987.0,1,2,6.0,0.0,0.0,19.0,1.0,0.0,3.3,1
179,Lloyd Price,1998.0,12,7,0.0,0.0,0.0,10.0,1.0,0.0,3.22,1
180,The Moonglows,2000.0,14,6,0.0,0.0,0.0,3.0,20.0,0.0,3.67,1
181,The Flamingos,2001.0,15,5,0.0,0.0,0.0,11.0,11.0,0.0,3.5,1
182,Bobby Darin,1990.0,4,5,14.0,0.0,0.0,41.0,1.0,0.0,2.98,1
183,Clyde McPhatter,1987.0,1,2,14.0,0.0,0.0,21.0,6.0,0.0,3.29,1
184,Carl Perkins,1987.0,1,2,14.0,0.0,0.0,5.0,2.0,0.0,3.44,1
185,The Ronettes,2007.0,18,1,15.0,0.0,1.0,8.0,2.0,0.0,3.5,1
186,Patti Smith,2007.0,6,7,21.0,0.0,1.0,2.0,13.0,1.0,3.71,1
187,Jerry Lee Lewis,1986.0,0,1,20.0,0.0,1.0,18.0,2.0,1.0,3.39,1
188,Little Richard,1986.0,0,1,19.0,0.0,1.0,21.0,6.0,2.0,3.5,1
189,Bobby Womack,2009.0,16,1,19.0,0.0,0.0,14.0,10.0,0.0,3.32,1
190,Frankie Lymon and the Teenagers,1993.0,7,8,0.0,0.0,0.0,5.0,13.0,0.0,3.25,1
191,Fats Domino,1986.0,0,1,18.0,0.0,0.0,66.0,2.0,1.0,3.25,1
192,Dr. John,2011.0,17,1,18.0,0.0,2.0,4.0,9.0,0.0,3.54,1
193,Bo Diddley,1987.0,1,1,17.0,0.0,1.0,5.0,20.0,0.0,3.19,1
194,Jackie Wilson,1987.0,1,2,16.0,0.0,1.0,53.0,4.0,0.0,3.39,1
195,Wilson Pickett,1991.0,2,3,15.0,0.0,0.0,38.0,6.0,0.0,3.18,1
196,Solomon Burke,2001.0,15,10,14.0,0.0,0.0,26.0,22.0,0.0,3.38,1
197,Big Joe Turner,1987.0,1,2,15.0,0.0,0.0,2.0,41.0,0.0,3.33,1
198,The Dells,2004.0,13,3,15.0,0.0,0.0,24.0,10.0,0.0,3.19,1
199,Jimmy Reed,1991.0,5,6,15.0,0.0,0.0,12.0,32.0,0.0,3.67,1
200,Ruth Brown,1993.0,7,6,15.0,0.0,0.0,7.0,24.0,0.0,3.27,1
201,Gene Vincent,1998.0,12,7,15.0,0.0,0.0,5.0,7.0,0.0,3.38,1
202,The Impressions,1991.0,2,3,15.0,0.0,1.0,38.0,4.0,0.0,3.4,1
203,Bill Haley,1987.0,1,2,14.0,0.0,0.0,22.0,1.0,0.0,2.94,1
204,Laura Nyro,2012.0,19,3,14.0,0.0,0.0,1.0,92.0,0.0,3.75,1
205,Booker T. and the M.G.'s,1992.0,4,3,14.0,0.0,0.0,17.0,3.0,0.0,3.33,1
206,John Lee Hooker,1991.0,5,1,19.0,0.0,1.0,1.0,60.0,0.0,3.49,1
207,Dion,1989.0,3,3,13.0,0.0,0.0,30.0,1.0,0.0,3.19,1
208,Traffic,2004.0,11,1,15.0,0.0,0.0,3.0,74.0,0.0,3.69,1
209,Eddie Cochran,1987.0,1,2,15.0,0.0,0.0,7.0,8.0,0.0,3.29,1
210,Etta James,1993.0,7,2,21.0,0.0,1.0,26.0,23.0,0.0,3.36,1
211,Tom Waits,2011.0,12,1,134.0,0.0,3.0,0.0,0.0,0.0,3.91,1
212,Bob Marley,1994.0,3,2,165.0,0.0,5.0,1.0,51.0,3.0,4.35,1
213,Sam Cooke,1986.0,0,1,178.0,0.0,2.0,43.0,1.0,1.0,3.5,1
0,Whitney Houston,0.0,10,0,35.0,58.5,1.0,44.0,1.0,2.0,3.34,0
1,Foreigner,0.0,16,0,10.0,37.5,0.0,22.0,1.0,0.0,3.33,0
2,Phil Collins,0.0,12,0,10.0,33.5,0.0,27.0,1.0,2.0,3.69,0
3,Willie Nelson,0.0,32,0,19.0,31.5,2.0,10.0,5.0,1.0,3.37,0
4,Boston,0.0,17,0,13.0,31.0,0.0,10.0,1.0,0.0,3.17,0
5,Ozzy Osbourne,0.0,14,0,14.0,27.25,0.0,5.0,8.0,4.0,3.59,0
6,Motley Crue,0.0,13,0,15.0,25.0,0.0,13.0,6.0,2.0,3.44,0
7,The Carpenters,0.0,25,0,10.0,24.5,1.0,28.0,1.0,1.0,3.23,0
8,The Doobie Brothers,0.0,23,0,10.0,22.0,0.0,27.0,1.0,1.0,3.32,0
9,Smashing Pumpkins,0.0,3,0,15.0,19.75,1.0,8.0,12.0,3.0,3.78,0
10,The Monkees,0.0,28,0,11.0,18.0,0.0,21.0,1.0,0.0,3.54,0
11,Sting,0.0,11,1,16.0,18.0,0.0,18.0,1.0,6.0,3.54,0
12,Styx,0.0,21,0,13.0,17.5,0.0,23.0,1.0,0.0,3.06,0
13,Stone Temple Pilots,0.0,1,0,6.0,17.5,0.0,1.0,78.0,1.0,3.63,0
14,Bad Company,0.0,20,0,15.0,15.5,0.0,17.0,5.0,1.0,2.77,0
15,Kansas,0.0,19,0,10.0,15.5,0.0,14.0,6.0,0.0,3.07,0
16,George Michael,0.0,7,0,19.0,15.0,1.0,18.0,1.0,1.0,3.44,0
17,INXS,0.0,14,0,15.0,15.0,0.0,18.0,1.0,0.0,2.91,0
18,Carole King,0.0,35,1,23.0,14.5,1.0,18.0,1.0,0.0,2.85,0
19,Cher,0.0,28,0,7.0,12.5,0.0,51.0,1.0,0.0,2.86,0
20,Alice In Chains,0.0,3,0,19.0,12.5,0.0,1.0,92.0,1.0,3.75,0
21,Pat Benatar,0.0,15,0,11.0,12.5,0.0,17.0,5.0,1.0,3.09,0
22,Duran Duran,0.0,13,0,22.0,12.0,0.0,21.0,1.0,2.0,2.79,0
23,Jethro Tull,0.0,26,0,15.0,11.0,1.0,7.0,11.0,1.0,2.98,0
24,Barry White,0.0,21,0,13.0,11.0,1.0,15.0,1.0,0.0,3.3,0
25,Nine Inch Nails,0.0,5,2,30.0,10.5,1.0,8.0,17.0,3.0,3.79,0
26,Scorpions,0.0,21,0,10.0,10.5,0.0,6.0,4.0,0.0,3.38,0
27,Depeche Mode,0.0,13,2,120.0,10.5,1.0,18.0,8.0,0.0,3.93,0
28,Peter Frampton,0.0,21,0,6.0,10.0,0.0,8.0,2.0,3.0,3.03,0
29,Tina Turner,0.0,20,0,19.0,10.0,0.0,17.0,1.0,7.0,3.0,0
30,Judas Priest,0.0,20,1,48.0,9.5,0.0,1.0,67.0,0.0,3.45,0
31,Soundgarden,0.0,8,0,17.0,9.0,1.0,1.0,96.0,2.0,3.63,0
32,Carly Simon,0.0,22,0,14.0,8.5,0.0,23.0,1.0,5.0,3.12,0
33,Ice Cube,0.0,3,0,14.0,8.5,0.0,9.0,15.0,1.0,3.56,0
34,Salt-N-Pepa,0.0,7,0,11.0,8.0,0.0,11.0,3.0,1.0,3.4,0
35,Weird Al Yankovic,0.0,14,0,10.0,8.0,0.0,10.0,9.0,0.0,3.25,0
36,"Peter, Paul & Mary",0.0,32,0,7.0,8.0,0.0,19.0,1.0,0.0,3.2,0
37,Three Dog Night,0.0,25,0,3.0,8.0,0.0,21.0,1.0,1.0,3.43,0
38,Steve Winwood,0.0,22,1,16.0,7.5,0.0,15.0,1.0,2.0,3.5,0
39,Toto,0.0,15,0,10.0,7.5,0.0,14.0,1.0,0.0,2.88,0
40,Pantera,0.0,11,0,23.0,7.0,0.0,0.0,0.0,0.0,3.28,0
41,Iron Maiden,0.0,15,0,42.0,6.5,0.0,0.0,0.0,0.0,3.59,0
42,Megadeth,0.0,9,0,15.0,6.5,0.0,1.0,71.0,0.0,3.31,0
43,The B-52's,0.0,15,0,12.0,6.5,1.0,8.0,3.0,1.0,3.71,0
44,Eurythmics,0.0,13,1,16.0,6.5,1.0,15.0,1.0,1.0,3.22,0
45,Conway Twitty,0.0,34,1,19.0,5.5,0.0,20.0,1.0,0.0,2.88,0
46,War,0.0,23,3,13.0,5.5,1.0,16.0,2.0,0.0,2.84,0
47,Phish,0.0,5,0,9.0,5.5,0.0,0.0,0.0,2.0,3.58,0
48,The Commodores,0.0,20,0,11.0,5.0,0.0,25.0,1.0,0.0,3.11,0
49,"Emerson, Lake & Palmer",0.0,24,0,15.0,4.5,0.0,5.0,39.0,0.0,3.18,0
50,Steppenwolf,0.0,26,1,14.0,4.5,0.0,13.0,2.0,0.0,2.82,0
51,Jane's Addiction,0.0,7,1,21.0,4.0,1.0,1.0,72.0,2.0,3.8,0
52,Ice-T,0.0,11,0,13.0,3.5,0.0,2.0,67.0,1.0,3.25,0
53,The J. Geils Band,0.0,23,5,9.0,3.5,0.0,17.0,1.0,2.0,3.71,0
54,Chic,0.0,17,11,25.0,2.5,0.0,10.0,1.0,0.0,3.25,0
55,Chaka Khan,0.0,15,2,25.0,2.5,0.0,11.0,3.0,0.0,3.46,0
56,Jim Croce,0.0,28,0,5.0,2.5,0.0,10.0,1.0,0.0,3.0,0
57,Bjork,0.0,17,0,123.0,2.5,1.0,2.0,84.0,0.0,3.9,0
58,The Go-Gos,0.0,13,0,10.0,2.5,0.0,7.0,2.0,0.0,3.25,0
59,Rick James,0.0,15,0,16.0,2.5,0.0,11.0,13.0,0.0,3.33,0
60,The Spinners,0.0,33,3,14.0,2.5,0.0,29.0,1.0,0.0,3.06,0
61,Slayer,0.0,11,0,134.0,2.0,0.0,0.0,0.0,0.0,3.43,0
62,New Order,0.0,13,0,182.0,2.0,1.0,6.0,28.0,0.0,3.89,0
63,John Coltrane,0.0,38,0,315.0,2.0,2.0,0.0,0.0,0.0,4.25,0
64,Los Lobos,0.0,15,1,7.0,2.0,1.0,3.0,1.0,0.0,3.68,0
65,Eric B. & Rakim,0.0,8,1,17.0,2.0,1.0,1.0,96.0,0.0,4.25,0
66,Faith No More,0.0,9,0,23.0,1.5,0.0,3.0,9.0,0.0,3.93,0
67,Joe Cocker,0.0,24,0,7.0,1.5,0.0,21.0,5.0,2.0,2.96,0
68,The Smiths,0.0,11,2,193.0,1.5,4.0,0.0,0.0,0.0,4.25,0
69,De La Soul,0.0,6,0,26.0,1.5,1.0,4.0,14.0,1.0,3.69,0
70,Warren Zevon,0.0,25,0,10.0,1.5,0.0,2.0,21.0,1.0,3.61,0
71,Peter Tosh,0.0,17,0,15.0,1.5,0.0,2.0,81.0,0.0,3.5,0
72,The Guess Who,0.0,29,0,7.0,1.15,0.0,21.0,1.0,0.0,2.59,0
73,Pixies,0.0,7,0,179.0,1.0,2.0,0.0,0.0,0.0,4.14,0
74,Harry Nilsson,0.0,27,0,21.0,1.0,0.0,10.0,1.0,0.0,3.66,0
75,The Dead Kennedys,0.0,15,0,14.0,0.5,0.0,0.0,0.0,0.0,3.8,0
76,Thin Lizzy,0.0,23,0,11.0,0.5,0.0,2.0,12.0,0.0,3.69,0
77,Connie Francis,0.0,36,0,4.0,0.5,0.0,56.0,1.0,0.0,3.35,0
78,Procol Harum,0.0,27,1,10.0,0.5,0.0,3.0,5.0,0.0,3.5,0
79,Kate Bush,0.0,16,1,23.0,0.5,0.0,4.0,30.0,0.0,3.65,0
80,King Crimson,0.0,25,0,59.0,0.5,0.0,1.0,80.0,0.0,3.79,0
81,The Flaming Lips,0.0,10,0,51.0,0.5,0.0,1.0,55.0,0.0,3.79,0
82,The Chantels,0.0,35,2,0.0,0.0,0.0,7.0,14.0,0.0,3.1,0
83,Tommy James & the Shondells,0.0,28,0,0.0,0.0,0.0,19.0,1.0,0.0,3.43,0
84,Toots & the Maytals,0.0,32,0,14.0,0.0,1.0,0.0,0.0,0.0,3.64,0
85,X,0.0,16,0,11.0,0.0,2.0,0.0,0.0,0.0,4.21,0
86,XTC,0.0,17,0,48.0,0.0,0.0,1.0,72.0,0.0,3.83,0
87,The Buzzcocks,0.0,17,0,48.0,0.0,1.0,0.0,0.0,0.0,3.5,0
88,The J.B.'s,0.0,23,1,16.0,0.0,0.0,3.0,22.0,0.0,3.53,0
89,The Clovers,0.0,43,0,8.0,0.0,0.0,2.0,23.0,0.0,3.75,0
90,The Specials,0.0,15,0,15.0,0.0,0.0,0.0,0.0,0.0,3.25,0
91,The Sir Douglas Quintet,0.0,25,1,0.0,0.0,0.0,4.0,13.0,0.0,3.88,0
92,The Jam,0.0,17,0,44.0,0.0,0.0,0.0,0.0,0.0,4.25,0
93,The Shangri-Las,0.0,28,0,14.0,0.0,0.0,11.0,1.0,0.0,3.5,0
94,The Runaways,0.0,18,0,16.0,0.0,0.0,0.0,0.0,0.0,3.4,0
95,T. Rex,0.0,26,0,149.0,0.0,1.0,4.0,10.0,0.0,3.73,0
96,The Replacements,0.0,13,1,137.0,0.0,2.0,1.0,51.0,0.0,4.29,0
97,The Meters,0.0,24,4,14.0,0.0,2.0,7.0,23.0,0.0,3.38,0
98,The Marvelettes,0.0,33,2,5.0,0.0,0.0,23.0,1.0,0.0,3.0,0
99,The Jesus and Mary Chain,0.0,10,0,52.0,0.0,1.0,0.0,0.0,0.0,3.79,0
100,Television,0.0,19,0,15.0,0.0,1.0,0.0,0.0,0.0,4.25,0
101,Afrika Bambaataa,0.0,14,1,15.0,0.0,0.0,1.0,48.0,0.0,3.25,0
102,Suicide,0.0,17,0,27.0,0.0,1.0,0.0,0.0,0.0,3.4,0
103,Stone Roses,0.0,9,0,41.0,0.0,1.0,0.0,0.0,0.0,4.0,0
104,Guitar Slim,0.0,42,0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0
105,Gram Parsons,0.0,27,3,131.0,0.0,1.0,0.0,0.0,0.0,4.58,0
106,Fugazi,0.0,6,0,60.0,0.0,0.0,0.0,0.0,0.0,4.1,0
107,Esther Phillips,0.0,43,2,3.0,0.0,0.0,7.0,8.0,0.0,3.15,0
108,Dick Dale,0.0,32,0,15.0,0.0,0.0,2.0,60.0,0.0,3.3,0
109,Chuck Willis,0.0,42,6,0.0,0.0,0.0,5.0,9.0,0.0,4.0,0
110,Chubby Checker,0.0,33,0,8.0,0.0,0.0,35.0,1.0,0.0,3.15,0
111,Captain Beefheart,0.0,28,0,127.0,0.0,1.0,0.0,0.0,1.0,3.96,0
112,Can,0.0,26,0,192.0,0.0,0.0,0.0,0.0,0.0,3.5,0
113,Brian Eno,0.0,20,0,327.0,0.0,2.0,0.0,0.0,0.0,3.81,0
114,Black Flag,0.0,16,0,161.0,0.0,1.0,0.0,0.0,0.0,3.29,0
115,Billy Ward and his Dominoes,0.0,43,1,0.0,0.0,0.0,4.0,12.0,0.0,3.81,0
116,Big Star,0.0,22,0,189.0,0.0,3.0,0.0,0.0,0.0,4.2,0
117,Big Mama Thornton,0.0,42,0,7.0,0.0,0.0,0.0,0.0,0.0,3.5,0
118,Ben E. King,0.0,32,3,13.0,0.0,0.0,22.0,4.0,0.0,3.06,0
119,Bauhaus,0.0,15,0,22.0,0.0,0.0,0.0,0.0,0.0,3.6,0
120,Bad Brains,0.0,12,1,18.0,0.0,0.0,0.0,0.0,0.0,3.33,0
121,Jan & Dean,0.0,34,0,7.0,0.0,0.0,24.0,1.0,0.0,2.72,0
122,Joe Tex,0.0,28,5,6.0,0.0,0.0,27.0,2.0,0.0,3.36,0
123,Johnny Ace,0.0,38,2,6.0,0.0,0.0,1.0,17.0,0.0,4.38,0
124,New York Dolls,0.0,21,1,47.0,0.0,1.0,0.0,0.0,0.0,4.38,0
125,Sparks,0.0,23,0,15.0,0.0,0.0,1.0,60.0,0.0,3.54,0
126,Sonic Youth,0.0,12,0,282.0,0.0,1.0,0.0,0.0,0.0,3.68,0
127,Siouxsie & the Banshees,0.0,16,0,17.0,0.0,0.0,2.0,23.0,0.0,3.73,0
128,Silver Apples,0.0,26,0,16.0,0.0,0.0,0.0,0.0,0.0,3.34,0
129,Screamin' Jay Hawkins,0.0,36,0,16.0,0.0,0.0,0.0,0.0,0.0,2.8,0
130,Scott Walker,0.0,28,0,18.0,0.0,0.0,3.0,13.0,0.0,3.38,0
131,Nick Cave,0.0,10,0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,0
132,My Bloody Valentine,0.0,9,0,253.0,0.0,1.0,0.0,0.0,0.0,3.88,0
133,Johnny Burnette,0.0,38,0,0.0,0.0,0.0,5.0,8.0,0.0,3.36,0
134,Motorhead,0.0,17,0,20.0,0.0,0.0,0.0,0.0,0.0,3.38,0
135,Massive Attack,0.0,6,0,25.0,0.0,1.0,0.0,0.0,0.0,4.0,0
136,Mary Wells,0.0,33,2,15.0,0.0,0.0,23.0,1.0,0.0,3.11,0
137,Love,0.0,28,0,16.0,0.0,1.0,3.0,33.0,0.0,3.67,0
138,Link Wray,0.0,36,2,14.0,0.0,0.0,4.0,16.0,0.0,3.25,0
139,Junior Walker & the All-Stars,0.0,28,0,9.0,0.0,0.0,1.0,4.0,0.0,3.19,0
140,Joy Division,0.0,16,0,187.0,0.0,1.0,0.0,0.0,0.0,3.8,0
141,Nick Drake,0.0,25,0,190.0,0.0,1.0,0.0,0.0,0.0,4.5,0
142,Husker Du,0.0,13,0,45.0,0.0,1.0,0.0,0.0,0.0,4.58,0
143,A Tribe Called Quest,0.0,3,0,26.0,0.0,1.0,0.0,0.0,0.0,4.25,0
144,Pavement,0.0,4,0,49.0,0.0,2.0,0.0,0.0,0.0,4.5,0
